
==================== Parser Summary ====================
Num Cell: 150750
Num Net: 166998
Max Degree: 4
Lower Bound: 74621.2
Higher Bound: 76128.8

==================== Init Partition Summary ====================
Left: 74622, Right: 76128
Initial State: 109852
[FM(1)]Cut Size: 53588, Current Best Cut: 53588, Repeat for: 1, Not Change for: 0
[FM(2)]Cut Size: 47483, Current Best Cut: 47483, Repeat for: 1, Not Change for: 0
[FM(3)]Cut Size: 46170, Current Best Cut: 46170, Repeat for: 1, Not Change for: 0
[FM(4)]Cut Size: 45568, Current Best Cut: 45568, Repeat for: 1, Not Change for: 0
[FM(5)]Cut Size: 45231, Current Best Cut: 45231, Repeat for: 1, Not Change for: 0
[FM(6)]Cut Size: 45082, Current Best Cut: 45082, Repeat for: 1, Not Change for: 0
[FM(7)]Cut Size: 44983, Current Best Cut: 44983, Repeat for: 1, Not Change for: 0
[FM(8)]Cut Size: 44905, Current Best Cut: 44905, Repeat for: 1, Not Change for: 0
[FM(9)]Cut Size: 44868, Current Best Cut: 44868, Repeat for: 1, Not Change for: 0
[FM(10)]Cut Size: 44841, Current Best Cut: 44841, Repeat for: 1, Not Change for: 0
[FM(11)]Cut Size: 44825, Current Best Cut: 44825, Repeat for: 1, Not Change for: 0
[FM(12)]Cut Size: 44818, Current Best Cut: 44818, Repeat for: 1, Not Change for: 0
[FM(13)]Cut Size: 44814, Current Best Cut: 44814, Repeat for: 1, Not Change for: 0
[FM(14)]Cut Size: 44814, Current Best Cut: 44814, Repeat for: 2, Not Change for: 1
[FM(15)]Cut Size: 44812, Current Best Cut: 44812, Repeat for: 1, Not Change for: 0
[FM(16)]Cut Size: 44811, Current Best Cut: 44811, Repeat for: 1, Not Change for: 0
[FM(17)]Cut Size: 44811, Current Best Cut: 44811, Repeat for: 2, Not Change for: 1
[FM(18)]Cut Size: 44811, Current Best Cut: 44811, Repeat for: 3, Not Change for: 2
[FM(19)]Cut Size: 44810, Current Best Cut: 44810, Repeat for: 1, Not Change for: 0
[FM(20)]Cut Size: 44810, Current Best Cut: 44810, Repeat for: 2, Not Change for: 1
[FM(21)]Cut Size: 44809, Current Best Cut: 44809, Repeat for: 1, Not Change for: 0
[FM(22)]Cut Size: 44809, Current Best Cut: 44809, Repeat for: 2, Not Change for: 1
[FM(23)]Cut Size: 44809, Current Best Cut: 44809, Repeat for: 3, Not Change for: 2
[FM(24)]Cut Size: 44809, Current Best Cut: 44809, Repeat for: 4, Not Change for: 3
[FM(25)]Cut Size: 44870, Current Best Cut: 44809, Repeat for: 4, Not Change for: 4
[FM(26)]Cut Size: 44940, Current Best Cut: 44809, Repeat for: 4, Not Change for: 5
[FM(27)]Cut Size: 44940, Current Best Cut: 44809, Repeat for: 4, Not Change for: 6
[FM(28)]Cut Size: 44940, Current Best Cut: 44809, Repeat for: 4, Not Change for: 7
