
==================== Parser Summary ====================
Num Cell: 382489
Num Net: 483599
Max Degree: 4
Lower Bound: 189332
Higher Bound: 193157

==================== Init Partition Summary ====================
Left: 189333, Right: 193156
Initial State: 319495
[FM(1)]Cut Size: 166746, Current Best Cut: 166746, Repeat for: 1, Not Change for: 0
[FM(2)]Cut Size: 150790, Current Best Cut: 150790, Repeat for: 1, Not Change for: 0
[FM(3)]Cut Size: 146824, Current Best Cut: 146824, Repeat for: 1, Not Change for: 0
[FM(4)]Cut Size: 145134, Current Best Cut: 145134, Repeat for: 1, Not Change for: 0
[FM(5)]Cut Size: 144321, Current Best Cut: 144321, Repeat for: 1, Not Change for: 0
[FM(6)]Cut Size: 143937, Current Best Cut: 143937, Repeat for: 1, Not Change for: 0
[FM(7)]Cut Size: 143538, Current Best Cut: 143538, Repeat for: 1, Not Change for: 0
[FM(8)]Cut Size: 143526, Current Best Cut: 143526, Repeat for: 1, Not Change for: 0
[FM(9)]Cut Size: 143169, Current Best Cut: 143169, Repeat for: 1, Not Change for: 0
[FM(10)]Cut Size: 143036, Current Best Cut: 143036, Repeat for: 1, Not Change for: 0
[FM(11)]Cut Size: 142938, Current Best Cut: 142938, Repeat for: 1, Not Change for: 0
[FM(12)]Cut Size: 142911, Current Best Cut: 142911, Repeat for: 1, Not Change for: 0
[FM(13)]Cut Size: 142826, Current Best Cut: 142826, Repeat for: 1, Not Change for: 0
[FM(14)]Cut Size: 142789, Current Best Cut: 142789, Repeat for: 1, Not Change for: 0
[FM(15)]Cut Size: 142762, Current Best Cut: 142762, Repeat for: 1, Not Change for: 0
[FM(16)]Cut Size: 142745, Current Best Cut: 142745, Repeat for: 1, Not Change for: 0
[FM(17)]Cut Size: 142734, Current Best Cut: 142734, Repeat for: 1, Not Change for: 0
[FM(18)]Cut Size: 142726, Current Best Cut: 142726, Repeat for: 1, Not Change for: 0
[FM(19)]Cut Size: 142723, Current Best Cut: 142723, Repeat for: 1, Not Change for: 0
[FM(20)]Cut Size: 142723, Current Best Cut: 142723, Repeat for: 2, Not Change for: 1
[FM(21)]Cut Size: 142721, Current Best Cut: 142721, Repeat for: 1, Not Change for: 0
[FM(22)]Cut Size: 142719, Current Best Cut: 142719, Repeat for: 1, Not Change for: 0
[FM(23)]Cut Size: 142719, Current Best Cut: 142719, Repeat for: 2, Not Change for: 1
[FM(24)]Cut Size: 142716, Current Best Cut: 142716, Repeat for: 1, Not Change for: 0
[FM(25)]Cut Size: 142716, Current Best Cut: 142716, Repeat for: 2, Not Change for: 1
[FM(26)]Cut Size: 142716, Current Best Cut: 142716, Repeat for: 3, Not Change for: 2
[FM(27)]Cut Size: 142716, Current Best Cut: 142716, Repeat for: 4, Not Change for: 3
[FM(28)]Cut Size: 142716, Current Best Cut: 142716, Repeat for: 5, Not Change for: 4
[FM(29)]Cut Size: 142716, Current Best Cut: 142716, Repeat for: 6, Not Change for: 5
[FM(30)]Cut Size: 142716, Current Best Cut: 142716, Repeat for: 7, Not Change for: 6
[FM(31)]Cut Size: 142868, Current Best Cut: 142716, Repeat for: 7, Not Change for: 7
[FM(32)]Cut Size: 143124, Current Best Cut: 142716, Repeat for: 7, Not Change for: 8
[FM(33)]Cut Size: 143124, Current Best Cut: 142716, Repeat for: 7, Not Change for: 9
[FM(34)]Cut Size: 143124, Current Best Cut: 142716, Repeat for: 7, Not Change for: 10
