
==================== Parser Summary ====================
Num Cell: 382489
Num Net: 483599
Max Degree: 134
Lower Bound: 189332
Higher Bound: 193157

==================== Init Partition Summary ====================
Left: 189333, Right: 193156
Initial State: 278843
[FM(1)]Cut Size: 71755, Current Best Cut: 71755, Repeat for: 1, Not Change for: 0
[FM(2)]Cut Size: 45275, Current Best Cut: 45275, Repeat for: 1, Not Change for: 0
[FM(3)]Cut Size: 42848, Current Best Cut: 42848, Repeat for: 1, Not Change for: 0
[FM(4)]Cut Size: 42150, Current Best Cut: 42150, Repeat for: 1, Not Change for: 0
[FM(5)]Cut Size: 41898, Current Best Cut: 41898, Repeat for: 1, Not Change for: 0
[FM(6)]Cut Size: 41777, Current Best Cut: 41777, Repeat for: 1, Not Change for: 0
[FM(7)]Cut Size: 41756, Current Best Cut: 41756, Repeat for: 1, Not Change for: 0
[FM(8)]Cut Size: 41742, Current Best Cut: 41742, Repeat for: 1, Not Change for: 0
[FM(9)]Cut Size: 41688, Current Best Cut: 41688, Repeat for: 1, Not Change for: 0
[FM(10)]Cut Size: 41677, Current Best Cut: 41677, Repeat for: 1, Not Change for: 0
[FM(11)]Cut Size: 41677, Current Best Cut: 41677, Repeat for: 2, Not Change for: 1
[FM(12)]Cut Size: 41677, Current Best Cut: 41677, Repeat for: 3, Not Change for: 2
[FM(13)]Cut Size: 41677, Current Best Cut: 41677, Repeat for: 4, Not Change for: 3
[FM(14)]Cut Size: 41677, Current Best Cut: 41677, Repeat for: 5, Not Change for: 4
[FM(15)]Cut Size: 41677, Current Best Cut: 41677, Repeat for: 6, Not Change for: 5
[FM(16)]Cut Size: 36176, Current Best Cut: 36176, Repeat for: 1, Not Change for: 0
[FM(17)]Cut Size: 20018, Current Best Cut: 20018, Repeat for: 1, Not Change for: 0
[FM(18)]Cut Size: 19799, Current Best Cut: 19799, Repeat for: 1, Not Change for: 0
[FM(19)]Cut Size: 19705, Current Best Cut: 19705, Repeat for: 1, Not Change for: 0
[FM(20)]Cut Size: 19687, Current Best Cut: 19687, Repeat for: 1, Not Change for: 0
[FM(21)]Cut Size: 19676, Current Best Cut: 19676, Repeat for: 1, Not Change for: 0
[FM(22)]Cut Size: 19655, Current Best Cut: 19655, Repeat for: 1, Not Change for: 0
[FM(23)]Cut Size: 19653, Current Best Cut: 19653, Repeat for: 1, Not Change for: 0
[FM(24)]Cut Size: 19644, Current Best Cut: 19644, Repeat for: 1, Not Change for: 0
[FM(25)]Cut Size: 19644, Current Best Cut: 19644, Repeat for: 2, Not Change for: 1
[FM(26)]Cut Size: 19644, Current Best Cut: 19644, Repeat for: 3, Not Change for: 2
[FM(27)]Cut Size: 19644, Current Best Cut: 19644, Repeat for: 4, Not Change for: 3
[FM(28)]Cut Size: 29919, Current Best Cut: 19644, Repeat for: 4, Not Change for: 4
[FM(29)]Cut Size: 17527, Current Best Cut: 17527, Repeat for: 1, Not Change for: 0
[FM(30)]Cut Size: 17409, Current Best Cut: 17409, Repeat for: 1, Not Change for: 0
[FM(31)]Cut Size: 17357, Current Best Cut: 17357, Repeat for: 1, Not Change for: 0
[FM(32)]Cut Size: 17403, Current Best Cut: 17357, Repeat for: 1, Not Change for: 1
[FM(33)]Cut Size: 17365, Current Best Cut: 17357, Repeat for: 1, Not Change for: 2
[FM(34)]Cut Size: 17404, Current Best Cut: 17357, Repeat for: 1, Not Change for: 3
[FM(35)]Cut Size: 21475, Current Best Cut: 17357, Repeat for: 1, Not Change for: 4
[FM(36)]Cut Size: 12742, Current Best Cut: 12742, Repeat for: 1, Not Change for: 0
[FM(37)]Cut Size: 12656, Current Best Cut: 12656, Repeat for: 1, Not Change for: 0
[FM(38)]Cut Size: 12614, Current Best Cut: 12614, Repeat for: 1, Not Change for: 0
[FM(39)]Cut Size: 12614, Current Best Cut: 12614, Repeat for: 2, Not Change for: 1
[FM(40)]Cut Size: 12614, Current Best Cut: 12614, Repeat for: 3, Not Change for: 2
[FM(41)]Cut Size: 12614, Current Best Cut: 12614, Repeat for: 4, Not Change for: 3
[FM(42)]Cut Size: 24319, Current Best Cut: 12614, Repeat for: 4, Not Change for: 4
[FM(43)]Cut Size: 14340, Current Best Cut: 12614, Repeat for: 4, Not Change for: 5
[FM(44)]Cut Size: 22875, Current Best Cut: 12614, Repeat for: 4, Not Change for: 6
[FM(45)]Cut Size: 14939, Current Best Cut: 12614, Repeat for: 4, Not Change for: 7
[FM(46)]Cut Size: 21554, Current Best Cut: 12614, Repeat for: 4, Not Change for: 8
[FM(47)]Cut Size: 14671, Current Best Cut: 12614, Repeat for: 4, Not Change for: 9
[FM(48)]Cut Size: 21696, Current Best Cut: 12614, Repeat for: 4, Not Change for: 10
[FM(49)]Cut Size: 16898, Current Best Cut: 12614, Repeat for: 4, Not Change for: 11
[FM(50)]Cut Size: 22302, Current Best Cut: 12614, Repeat for: 4, Not Change for: 12
[FM(51)]Cut Size: 16086, Current Best Cut: 12614, Repeat for: 4, Not Change for: 13
[FM(52)]Cut Size: 22090, Current Best Cut: 12614, Repeat for: 4, Not Change for: 14
[FM(53)]Cut Size: 16524, Current Best Cut: 12614, Repeat for: 4, Not Change for: 15
[FM(54)]Cut Size: 21007, Current Best Cut: 12614, Repeat for: 4, Not Change for: 16
[FM(55)]Cut Size: 15488, Current Best Cut: 12614, Repeat for: 4, Not Change for: 17
[FM(56)]Cut Size: 21814, Current Best Cut: 12614, Repeat for: 4, Not Change for: 18
[FM(57)]Cut Size: 16883, Current Best Cut: 12614, Repeat for: 4, Not Change for: 19
[FM(58)]Cut Size: 21169, Current Best Cut: 12614, Repeat for: 4, Not Change for: 20
[FM(59)]Cut Size: 17852, Current Best Cut: 12614, Repeat for: 4, Not Change for: 21
[FM(60)]Cut Size: 21523, Current Best Cut: 12614, Repeat for: 4, Not Change for: 22
[FM(61)]Cut Size: 17269, Current Best Cut: 12614, Repeat for: 4, Not Change for: 23
[FM(62)]Cut Size: 9575, Current Best Cut: 9575, Repeat for: 1, Not Change for: 0
[FM(63)]Cut Size: 9544, Current Best Cut: 9544, Repeat for: 1, Not Change for: 0
[FM(64)]Cut Size: 9544, Current Best Cut: 9544, Repeat for: 2, Not Change for: 1
[FM(65)]Cut Size: 9542, Current Best Cut: 9542, Repeat for: 1, Not Change for: 0
[FM(66)]Cut Size: 9542, Current Best Cut: 9542, Repeat for: 2, Not Change for: 1
[FM(67)]Cut Size: 9542, Current Best Cut: 9542, Repeat for: 3, Not Change for: 2
[FM(68)]Cut Size: 9542, Current Best Cut: 9542, Repeat for: 4, Not Change for: 3
[FM(69)]Cut Size: 23926, Current Best Cut: 9542, Repeat for: 4, Not Change for: 4
[FM(70)]Cut Size: 12141, Current Best Cut: 9542, Repeat for: 4, Not Change for: 5
[FM(71)]Cut Size: 22820, Current Best Cut: 9542, Repeat for: 4, Not Change for: 6
[FM(72)]Cut Size: 11173, Current Best Cut: 9542, Repeat for: 4, Not Change for: 7
[FM(73)]Cut Size: 24750, Current Best Cut: 9542, Repeat for: 4, Not Change for: 8
[FM(74)]Cut Size: 12472, Current Best Cut: 9542, Repeat for: 4, Not Change for: 9
[FM(75)]Cut Size: 12492, Current Best Cut: 9542, Repeat for: 4, Not Change for: 10
[FM(76)]Cut Size: 19611, Current Best Cut: 9542, Repeat for: 4, Not Change for: 11
[FM(77)]Cut Size: 10960, Current Best Cut: 9542, Repeat for: 4, Not Change for: 12
[FM(78)]Cut Size: 22798, Current Best Cut: 9542, Repeat for: 4, Not Change for: 13
[FM(79)]Cut Size: 11734, Current Best Cut: 9542, Repeat for: 4, Not Change for: 14
[FM(80)]Cut Size: 11727, Current Best Cut: 9542, Repeat for: 4, Not Change for: 15
[FM(81)]Cut Size: 20736, Current Best Cut: 9542, Repeat for: 4, Not Change for: 16
[FM(82)]Cut Size: 11073, Current Best Cut: 9542, Repeat for: 4, Not Change for: 17
[FM(83)]Cut Size: 24949, Current Best Cut: 9542, Repeat for: 4, Not Change for: 18
[FM(84)]Cut Size: 11429, Current Best Cut: 9542, Repeat for: 4, Not Change for: 19
[FM(85)]Cut Size: 24189, Current Best Cut: 9542, Repeat for: 4, Not Change for: 20
[FM(86)]Cut Size: 10344, Current Best Cut: 9542, Repeat for: 4, Not Change for: 21
[FM(87)]Cut Size: 23944, Current Best Cut: 9542, Repeat for: 4, Not Change for: 22
[FM(88)]Cut Size: 12850, Current Best Cut: 9542, Repeat for: 4, Not Change for: 23
[FM(89)]Cut Size: 24820, Current Best Cut: 9542, Repeat for: 4, Not Change for: 24
[FM(90)]Cut Size: 10372, Current Best Cut: 9542, Repeat for: 4, Not Change for: 25
[FM(91)]Cut Size: 10272, Current Best Cut: 9542, Repeat for: 4, Not Change for: 26
[FM(92)]Cut Size: 10357, Current Best Cut: 9542, Repeat for: 4, Not Change for: 27
[FM(93)]Cut Size: 18508, Current Best Cut: 9542, Repeat for: 4, Not Change for: 28
[FM(94)]Cut Size: 16579, Current Best Cut: 9542, Repeat for: 4, Not Change for: 29
[FM(95)]Cut Size: 16491, Current Best Cut: 9542, Repeat for: 4, Not Change for: 30
[FM(96)]Cut Size: 19762, Current Best Cut: 9542, Repeat for: 4, Not Change for: 31
[FM(97)]Cut Size: 12593, Current Best Cut: 9542, Repeat for: 4, Not Change for: 32
[FM(98)]Cut Size: 21414, Current Best Cut: 9542, Repeat for: 4, Not Change for: 33
[FM(99)]Cut Size: 10661, Current Best Cut: 9542, Repeat for: 4, Not Change for: 34
[FM(100)]Cut Size: 27354, Current Best Cut: 9542, Repeat for: 4, Not Change for: 35
[FM(101)]Cut Size: 14476, Current Best Cut: 9542, Repeat for: 4, Not Change for: 36
[FM(102)]Cut Size: 23842, Current Best Cut: 9542, Repeat for: 4, Not Change for: 37
[FM(103)]Cut Size: 10823, Current Best Cut: 9542, Repeat for: 4, Not Change for: 38
[FM(104)]Cut Size: 10708, Current Best Cut: 9542, Repeat for: 4, Not Change for: 39
[FM(105)]Cut Size: 10744, Current Best Cut: 9542, Repeat for: 4, Not Change for: 40
[FM(106)]Cut Size: 25333, Current Best Cut: 9542, Repeat for: 4, Not Change for: 41
[FM(107)]Cut Size: 12033, Current Best Cut: 9542, Repeat for: 4, Not Change for: 42
[FM(108)]Cut Size: 23473, Current Best Cut: 9542, Repeat for: 4, Not Change for: 43
[FM(109)]Cut Size: 11444, Current Best Cut: 9542, Repeat for: 4, Not Change for: 44
[FM(110)]Cut Size: 11344, Current Best Cut: 9542, Repeat for: 4, Not Change for: 45
[FM(111)]Cut Size: 11359, Current Best Cut: 9542, Repeat for: 4, Not Change for: 46
[FM(112)]Cut Size: 25102, Current Best Cut: 9542, Repeat for: 4, Not Change for: 47
[FM(113)]Cut Size: 12344, Current Best Cut: 9542, Repeat for: 4, Not Change for: 48
[FM(114)]Cut Size: 24231, Current Best Cut: 9542, Repeat for: 4, Not Change for: 49
[FM(115)]Cut Size: 11151, Current Best Cut: 9542, Repeat for: 4, Not Change for: 50
[FM(116)]Cut Size: 25062, Current Best Cut: 9542, Repeat for: 4, Not Change for: 51
[FM(117)]Cut Size: 10723, Current Best Cut: 9542, Repeat for: 4, Not Change for: 52
[FM(118)]Cut Size: 10890, Current Best Cut: 9542, Repeat for: 4, Not Change for: 53
[FM(119)]Cut Size: 10686, Current Best Cut: 9542, Repeat for: 4, Not Change for: 54
[FM(120)]Cut Size: 10862, Current Best Cut: 9542, Repeat for: 4, Not Change for: 55
[FM(121)]Cut Size: 19673, Current Best Cut: 9542, Repeat for: 4, Not Change for: 56
[FM(122)]Cut Size: 12119, Current Best Cut: 9542, Repeat for: 4, Not Change for: 57
[FM(123)]Cut Size: 27156, Current Best Cut: 9542, Repeat for: 4, Not Change for: 58
[FM(124)]Cut Size: 12377, Current Best Cut: 9542, Repeat for: 4, Not Change for: 59
[FM(125)]Cut Size: 21180, Current Best Cut: 9542, Repeat for: 4, Not Change for: 60
[FM(126)]Cut Size: 10611, Current Best Cut: 9542, Repeat for: 4, Not Change for: 61
[FM(127)]Cut Size: 10634, Current Best Cut: 9542, Repeat for: 4, Not Change for: 62
[FM(128)]Cut Size: 20667, Current Best Cut: 9542, Repeat for: 4, Not Change for: 63
[FM(129)]Cut Size: 12267, Current Best Cut: 9542, Repeat for: 4, Not Change for: 64
[FM(130)]Cut Size: 23331, Current Best Cut: 9542, Repeat for: 4, Not Change for: 65
[FM(131)]Cut Size: 11985, Current Best Cut: 9542, Repeat for: 4, Not Change for: 66
[FM(132)]Cut Size: 23749, Current Best Cut: 9542, Repeat for: 4, Not Change for: 67
[FM(133)]Cut Size: 11432, Current Best Cut: 9542, Repeat for: 4, Not Change for: 68
[FM(134)]Cut Size: 22878, Current Best Cut: 9542, Repeat for: 4, Not Change for: 69
[FM(135)]Cut Size: 11210, Current Best Cut: 9542, Repeat for: 4, Not Change for: 70
[FM(136)]Cut Size: 22686, Current Best Cut: 9542, Repeat for: 4, Not Change for: 71
[FM(137)]Cut Size: 11224, Current Best Cut: 9542, Repeat for: 4, Not Change for: 72
[FM(138)]Cut Size: 11708, Current Best Cut: 9542, Repeat for: 4, Not Change for: 73
[FM(139)]Cut Size: 18166, Current Best Cut: 9542, Repeat for: 4, Not Change for: 74
[FM(140)]Cut Size: 18629, Current Best Cut: 9542, Repeat for: 4, Not Change for: 75
[FM(141)]Cut Size: 16759, Current Best Cut: 9542, Repeat for: 4, Not Change for: 76
[FM(142)]Cut Size: 18589, Current Best Cut: 9542, Repeat for: 4, Not Change for: 77
[FM(143)]Cut Size: 10959, Current Best Cut: 9542, Repeat for: 4, Not Change for: 78
[FM(144)]Cut Size: 23984, Current Best Cut: 9542, Repeat for: 4, Not Change for: 79
[FM(145)]Cut Size: 12027, Current Best Cut: 9542, Repeat for: 4, Not Change for: 80
[FM(146)]Cut Size: 22540, Current Best Cut: 9542, Repeat for: 4, Not Change for: 81
[FM(147)]Cut Size: 10716, Current Best Cut: 9542, Repeat for: 4, Not Change for: 82
[FM(148)]Cut Size: 23660, Current Best Cut: 9542, Repeat for: 4, Not Change for: 83
[FM(149)]Cut Size: 11540, Current Best Cut: 9542, Repeat for: 4, Not Change for: 84
[FM(150)]Cut Size: 23345, Current Best Cut: 9542, Repeat for: 4, Not Change for: 85
[FM(151)]Cut Size: 10820, Current Best Cut: 9542, Repeat for: 4, Not Change for: 86
[FM(152)]Cut Size: 23625, Current Best Cut: 9542, Repeat for: 4, Not Change for: 87
[FM(153)]Cut Size: 11736, Current Best Cut: 9542, Repeat for: 4, Not Change for: 88
[FM(154)]Cut Size: 23526, Current Best Cut: 9542, Repeat for: 4, Not Change for: 89
[FM(155)]Cut Size: 11349, Current Best Cut: 9542, Repeat for: 4, Not Change for: 90
[FM(156)]Cut Size: 26416, Current Best Cut: 9542, Repeat for: 4, Not Change for: 91
[FM(157)]Cut Size: 13123, Current Best Cut: 9542, Repeat for: 4, Not Change for: 92
[FM(158)]Cut Size: 24927, Current Best Cut: 9542, Repeat for: 4, Not Change for: 93
[FM(159)]Cut Size: 12124, Current Best Cut: 9542, Repeat for: 4, Not Change for: 94
[FM(160)]Cut Size: 24534, Current Best Cut: 9542, Repeat for: 4, Not Change for: 95
[FM(161)]Cut Size: 13194, Current Best Cut: 9542, Repeat for: 4, Not Change for: 96
[FM(162)]Cut Size: 13161, Current Best Cut: 9542, Repeat for: 4, Not Change for: 97
[FM(163)]Cut Size: 13160, Current Best Cut: 9542, Repeat for: 4, Not Change for: 98
